Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + softclip(drug-protein) + pcl(protein1d-protein3d)

EPOCH 1/200
  SAVED NEW BEST MODEL | EPOCH=001 | BEST_VAL_RMSE=0.776640 | BEST_VAL_MAE=0.528781 | BEST_VAL_CI=0.760952 | BEST_VAL_RM2=0.230678

EPOCH 2/200
  STEP 100/5739 | TOTAL_LOSS=0.469138 | REG_LOSS=0.227514 | SOFTCLIP_LOSS=1.146534 | PCL_LOSS=1.269708 | MEAN_GATE=0.4981 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.476984
  STEP 200/5739 | TOTAL_LOSS=2.263942 | REG_LOSS=2.093769 | SOFTCLIP_LOSS=1.295198 | PCL_LOSS=0.406529 | MEAN_GATE=0.4954 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=1.446986
  STEP 300/5739 | TOTAL_LOSS=1.129795 | REG_LOSS=0.977108 | SOFTCLIP_LOSS=1.067921 | PCL_LOSS=0.458944 | MEAN_GATE=0.4922 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.988488
  STEP 400/5739 | TOTAL_LOSS=1.250621 | REG_LOSS=1.074893 | SOFTCLIP_LOSS=1.203985 | PCL_LOSS=0.553291 | MEAN_GATE=0.4912 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=1.036770
  STEP 500/5739 | TOTAL_LOSS=0.410196 | REG_LOSS=0.202628 | SOFTCLIP_LOSS=1.115642 | PCL_LOSS=0.960041 | MEAN_GATE=0.4672 | MEAN_VALID_PER_ROW=3.25 | MEAN_VALID_OFFDIAG=2.25 | BATCH_RMSE=0.450142
  STEP 600/5739 | TOTAL_LOSS=0.685759 | REG_LOSS=0.526793 | SOFTCLIP_LOSS=1.229431 | PCL_LOSS=0.360226 | MEAN_GATE=0.4919 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.725805
  STEP 700/5739 | TOTAL_LOSS=0.463526 | REG_LOSS=0.339045 | SOFTCLIP_LOSS=1.222269 | PCL_LOSS=0.022538 | MEAN_GATE=0.5075 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.582276
  STEP 800/5739 | TOTAL_LOSS=0.296038 | REG_LOSS=0.078905 | SOFTCLIP_LOSS=1.325449 | PCL_LOSS=0.845888 | MEAN_GATE=0.4534 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.280900
  STEP 900/5739 | TOTAL_LOSS=0.291701 | REG_LOSS=0.131755 | SOFTCLIP_LOSS=1.231956 | PCL_LOSS=0.367501 | MEAN_GATE=0.4630 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.362981
  STEP 1000/5739 | TOTAL_LOSS=0.328953 | REG_LOSS=0.123344 | SOFTCLIP_LOSS=1.230721 | PCL_LOSS=0.825360 | MEAN_GATE=0.4644 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.351204
  STEP 1100/5739 | TOTAL_LOSS=1.229358 | REG_LOSS=1.102877 | SOFTCLIP_LOSS=0.985031 | PCL_LOSS=0.279783 | MEAN_GATE=0.4835 | MEAN_VALID_PER_ROW=3.00 | MEAN_VALID_OFFDIAG=2.00 | BATCH_RMSE=1.050179
  STEP 1200/5739 | TOTAL_LOSS=0.882827 | REG_LOSS=0.689524 | SOFTCLIP_LOSS=1.218636 | PCL_LOSS=0.714395 | MEAN_GATE=0.4384 | MEAN_VALID_PER_ROW=3.50 | MEAN_VALID_OFFDIAG=2.50 | BATCH_RMSE=0.830376
  STEP 1300/5739 | TOTAL_LOSS=1.112164 | REG_LOSS=0.956730 | SOFTCLIP_LOSS=1.210931 | PCL_LOSS=0.343406 | MEAN_GATE=0.4281 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.978126
  STEP 1400/5739 | TOTAL_LOSS=0.336844 | REG_LOSS=0.222537 | SOFTCLIP_LOSS=0.916911 | PCL_LOSS=0.226159 | MEAN_GATE=0.4457 | MEAN_VALID_PER_ROW=2.75 | MEAN_VALID_OFFDIAG=1.75 | BATCH_RMSE=0.471738
  STEP 1500/5739 | TOTAL_LOSS=0.601979 | REG_LOSS=0.418198 | SOFTCLIP_LOSS=1.289835 | PCL_LOSS=0.547978 | MEAN_GATE=0.4973 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.646682
  STEP 1600/5739 | TOTAL_LOSS=0.464397 | REG_LOSS=0.290894 | SOFTCLIP_LOSS=1.277599 | PCL_LOSS=0.457437 | MEAN_GATE=0.4579 | MEAN_VALID_PER_ROW=3.75 | MEAN_VALID_OFFDIAG=2.75 | BATCH_RMSE=0.539346
