SWEEP START: 2026-04-18T06:49:02.530100
SWEEP DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902


====================================================================================================
[RUN 1/5] bs2_lr0.0003_lp0.1_temp0.07
START: 2026-04-18T06:49:02.530395
OUTPUT_DIR: outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07
COMMAND: /data1/ztx/.conda/envs/mdta/bin/python -u train_p13d_pcl.py --pairs_csv data/raw/davis/pairs.csv --drug_1d_dir data/processed/davis/drug_1d_chemberta2 --protein_1d_dir data/processed/davis/protein_1d_esm2 --protein_3d_dir data/processed/davis/protein_3d_min --split_json data/splits/davis_fixed_split_size2.json --output_dir outputs/pcl_sweeps/pcl_sweep_20260418_064902/bs2_lr0.0003_lp0.1_temp0.07 --drug_1d_in_dim 768 --hidden_dim 128 --contrastive_dim 128 --dropout 0.1 --epochs 30 --batch_size 2 --lr 0.0003 --lambda_pcl 0.1 --temperature_init 0.07 --num_workers 0 --weight_decay 1e-05 --seed 42
====================================================================================================
Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 9900/11478 | TOTAL_LOSS=1.073762 | REG_LOSS=0.976065 | PCL_LOSS=0.976970 | MEAN_GATE=0.4760 | BATCH_RMSE=0.987960
  STEP 10000/11478 | TOTAL_LOSS=0.508955 | REG_LOSS=0.475883 | PCL_LOSS=0.330718 | MEAN_GATE=0.4926 | BATCH_RMSE=0.689843
  STEP 10100/11478 | TOTAL_LOSS=3.130057 | REG_LOSS=3.130057 | PCL_LOSS=0.000001 | MEAN_GATE=0.4763 | BATCH_RMSE=1.769197
  STEP 10200/11478 | TOTAL_LOSS=0.095544 | REG_LOSS=0.091046 | PCL_LOSS=0.044982 | MEAN_GATE=0.4378 | BATCH_RMSE=0.301738
  STEP 10300/11478 | TOTAL_LOSS=0.214213 | REG_LOSS=0.156594 | PCL_LOSS=0.576183 | MEAN_GATE=0.4533 | BATCH_RMSE=0.395720
  STEP 10400/11478 | TOTAL_LOSS=0.215970 | REG_LOSS=0.146609 | PCL_LOSS=0.693610 | MEAN_GATE=0.4805 | BATCH_RMSE=0.382896
  STEP 10500/11478 | TOTAL_LOSS=1.059136 | REG_LOSS=1.059136 | PCL_LOSS=0.000001 | MEAN_GATE=0.4851 | BATCH_RMSE=1.029143
  STEP 10600/11478 | TOTAL_LOSS=6.628309 | REG_LOSS=6.628309 | PCL_LOSS=0.000000 | MEAN_GATE=0.4891 | BATCH_RMSE=2.574550
  STEP 10700/11478 | TOTAL_LOSS=0.448975 | REG_LOSS=0.372936 | PCL_LOSS=0.760386 | MEAN_GATE=0.4102 | BATCH_RMSE=0.610685
  STEP 10800/11478 | TOTAL_LOSS=3.921562 | REG_LOSS=3.894783 | PCL_LOSS=0.267793 | MEAN_GATE=0.4477 | BATCH_RMSE=1.973520
  STEP 10900/11478 | TOTAL_LOSS=0.122585 | REG_LOSS=0.122561 | PCL_LOSS=0.000234 | MEAN_GATE=0.4425 | BATCH_RMSE=0.350088
  STEP 11000/11478 | TOTAL_LOSS=0.160236 | REG_LOSS=0.160236 | PCL_LOSS=0.000000 | MEAN_GATE=0.4714 | BATCH_RMSE=0.400295
  STEP 11100/11478 | TOTAL_LOSS=1.452713 | REG_LOSS=1.404638 | PCL_LOSS=0.480753 | MEAN_GATE=0.4830 | BATCH_RMSE=1.185174
  STEP 11200/11478 | TOTAL_LOSS=0.212184 | REG_LOSS=0.212184 | PCL_LOSS=0.000001 | MEAN_GATE=0.4778 | BATCH_RMSE=0.460635
  STEP 11300/11478 | TOTAL_LOSS=0.153856 | REG_LOSS=0.151221 | PCL_LOSS=0.026357 | MEAN_GATE=0.4546 | BATCH_RMSE=0.388871
  STEP 11400/11478 | TOTAL_LOSS=0.200244 | REG_LOSS=0.200244 | PCL_LOSS=0.000000 | MEAN_GATE=0.4365 | BATCH_RMSE=0.447486
[EPOCH 001/030] TRAIN: TOTAL=0.861811 | REG=0.824698 | PCL=0.371130 | RMSE=0.908129 | MAE=0.637063 | CI=0.683638 | RM2=0.103695
[EPOCH 001/030] VAL  : TOTAL=0.597250 | REG=0.570026 | PCL=0.272239 | RMSE=0.755001 | MAE=0.526195 | CI=0.772600 | RM2=0.278259
