Using device: cuda
[DavisDatasetP13D] input pairs: 30056
[DavisDatasetP13D] kept pairs : 28696
[DavisDatasetP13D] missing counts: {'drug_1d': 0, 'drug_2d': 0, 'protein_1d': 0, 'protein_3d': 1360}
TOTAL SIZE: 28696
TRAIN SIZE: 22956
VAL SIZE: 5740
SPLIT JSON: data/splits/davis_fixed_split_size2.json
MODEL: drug_1d + protein_1d + protein_3d + protein(1d-3d) contrastive learning

EPOCH 1/30
  STEP 5600/5739 | TOTAL_LOSS=3.665933 | REG_LOSS=3.660303 | PCL_LOSS=0.056299 | MEAN_GATE=0.3936 | BATCH_RMSE=1.913192
  STEP 5700/5739 | TOTAL_LOSS=1.507056 | REG_LOSS=1.506798 | PCL_LOSS=0.002582 | MEAN_GATE=0.4357 | BATCH_RMSE=1.227517
[EPOCH 002/030] TRAIN: TOTAL=0.749760 | REG=0.716148 | PCL=0.336126 | RMSE=0.846255 | MAE=0.593400 | CI=0.714461 | RM2=0.157923
[EPOCH 002/030] VAL  : TOTAL=0.597904 | REG=0.574007 | PCL=0.238974 | RMSE=0.757632 | MAE=0.477653 | CI=0.769696 | RM2=0.267576

EPOCH 3/30
  STEP 100/5739 | TOTAL_LOSS=2.169806 | REG_LOSS=2.169784 | PCL_LOSS=0.000218 | MEAN_GATE=0.3867 | BATCH_RMSE=1.473019
  STEP 200/5739 | TOTAL_LOSS=0.175952 | REG_LOSS=0.162263 | PCL_LOSS=0.136895 | MEAN_GATE=0.4512 | BATCH_RMSE=0.402818
  STEP 300/5739 | TOTAL_LOSS=0.154011 | REG_LOSS=0.114816 | PCL_LOSS=0.391947 | MEAN_GATE=0.4573 | BATCH_RMSE=0.338846
  STEP 400/5739 | TOTAL_LOSS=0.321800 | REG_LOSS=0.285425 | PCL_LOSS=0.363751 | MEAN_GATE=0.4477 | BATCH_RMSE=0.534252
  STEP 500/5739 | TOTAL_LOSS=0.530340 | REG_LOSS=0.526741 | PCL_LOSS=0.035989 | MEAN_GATE=0.4679 | BATCH_RMSE=0.725769
  STEP 600/5739 | TOTAL_LOSS=0.574931 | REG_LOSS=0.564793 | PCL_LOSS=0.101384 | MEAN_GATE=0.4300 | BATCH_RMSE=0.751527
  STEP 700/5739 | TOTAL_LOSS=0.222106 | REG_LOSS=0.180006 | PCL_LOSS=0.420999 | MEAN_GATE=0.4083 | BATCH_RMSE=0.424271
  STEP 800/5739 | TOTAL_LOSS=0.913640 | REG_LOSS=0.908779 | PCL_LOSS=0.048608 | MEAN_GATE=0.3902 | BATCH_RMSE=0.953299
  STEP 900/5739 | TOTAL_LOSS=0.124779 | REG_LOSS=0.113187 | PCL_LOSS=0.115927 | MEAN_GATE=0.4321 | BATCH_RMSE=0.336432
  STEP 1000/5739 | TOTAL_LOSS=0.267262 | REG_LOSS=0.263818 | PCL_LOSS=0.034434 | MEAN_GATE=0.4166 | BATCH_RMSE=0.513633
  STEP 1100/5739 | TOTAL_LOSS=1.075788 | REG_LOSS=1.075723 | PCL_LOSS=0.000658 | MEAN_GATE=0.3766 | BATCH_RMSE=1.037171
  STEP 1200/5739 | TOTAL_LOSS=0.418621 | REG_LOSS=0.408747 | PCL_LOSS=0.098740 | MEAN_GATE=0.4259 | BATCH_RMSE=0.639334
  STEP 1300/5739 | TOTAL_LOSS=0.248647 | REG_LOSS=0.172079 | PCL_LOSS=0.765677 | MEAN_GATE=0.3196 | BATCH_RMSE=0.414824
  STEP 1400/5739 | TOTAL_LOSS=0.564815 | REG_LOSS=0.514775 | PCL_LOSS=0.500399 | MEAN_GATE=0.3326 | BATCH_RMSE=0.717478
  STEP 1500/5739 | TOTAL_LOSS=0.349912 | REG_LOSS=0.327250 | PCL_LOSS=0.226621 | MEAN_GATE=0.3741 | BATCH_RMSE=0.572058
